CITY,DISTRICT,GEOCODE,DAY,TIME,T,TD,RH,WD,WS,BF,AT,Wx,Wx_n,get_day
臺北市,松山區,6300100,2021-01-11,12:00:00,13,12,90,東北風,1,<= 1,13,有雨,14,2021-01-11
臺北市,松山區,6300100,2021-01-11,15:00:00,13,11,91,偏西風,1,<= 1,12,有雨,14,2021-01-11
臺北市,松山區,6300100,2021-01-11,18:00:00,11,10,91,西北風,1,<= 1,11,有雨,14,2021-01-11
臺北市,松山區,6300100,2021-01-11,21:00:00,11,9,89,東北風,1,<= 1,10,有雨,14,2021-01-11
臺北市,松山區,6300100,2021-01-12,00:00:00,11,8,84,偏西風,1,<= 1,10,短暫雨,08,2021-01-11
臺北市,松山區,6300100,2021-01-12,03:00:00,10,7,82,西南風,1,<= 1,10,短暫雨,08,2021-01-11
臺北市,松山區,6300100,2021-01-12,06:00:00,10,7,82,偏南風,1,<= 1,9,陰,07,2021-01-11
臺北市,松山區,6300100,2021-01-12,09:00:00,11,8,79,東南風,1,<= 1,10,陰,07,2021-01-11
臺北市,松山區,6300100,2021-01-12,12:00:00,13,8,71,偏東風,2,2,12,晴,01,2021-01-11
臺北市,松山區,6300100,2021-01-12,15:00:00,13,7,69,偏東風,3,2,11,晴,01,2021-01-11
臺北市,松山區,6300100,2021-01-12,18:00:00,10,7,80,偏東風,2,2,8,晴,01,2021-01-11
臺北市,松山區,6300100,2021-01-12,21:00:00,10,7,86,偏東風,2,2,8,晴,01,2021-01-11
臺北市,松山區,6300100,2021-01-13,00:00:00,9,7,88,偏東風,2,2,8,晴,01,2021-01-11
臺北市,松山區,6300100,2021-01-13,03:00:00,9,7,89,偏東風,2,2,7,晴,01,2021-01-11
臺北市,松山區,6300100,2021-01-13,06:00:00,8,7,89,偏東風,2,<= 1,6,晴,01,2021-01-11
臺北市,松山區,6300100,2021-01-13,09:00:00,12,9,82,東北風,2,2,11,晴,01,2021-01-11
臺北市,松山區,6300100,2021-01-13,12:00:00,20,14,70,東北風,2,<= 1,20,晴,01,2021-01-11
臺北市,松山區,6300100,2021-01-13,15:00:00,20,15,74,偏東風,2,<= 1,20,晴,01,2021-01-11
臺北市,松山區,6300100,2021-01-13,18:00:00,16,13,80,東北風,1,<= 1,16,晴,01,2021-01-11
臺北市,松山區,6300100,2021-01-13,21:00:00,15,12,85,東北風,2,<= 1,15,晴,01,2021-01-11
臺北市,松山區,6300100,2021-01-14,00:00:00,14,12,85,東北風,2,<= 1,14,晴,01,2021-01-11
臺北市,松山區,6300100,2021-01-14,03:00:00,14,11,86,東北風,2,<= 1,13,晴,01,2021-01-11
臺北市,松山區,6300100,2021-01-14,06:00:00,13,11,88,東北風,2,<= 1,12,晴,01,2021-01-11
臺北市,松山區,6300100,2021-01-14,09:00:00,16,14,83,東北風,1,<= 1,17,晴,01,2021-01-11
臺北市,信義區,6300200,2021-01-11,12:00:00,13,9,79,偏北風,2,<= 1,12,有雨,14,2021-01-11
臺北市,信義區,6300200,2021-01-11,15:00:00,12,9,82,西北風,1,<= 1,12,有雨,14,2021-01-11
臺北市,信義區,6300200,2021-01-11,18:00:00,11,8,82,西北風,1,<= 1,10,有雨,14,2021-01-11
臺北市,信義區,6300200,2021-01-11,21:00:00,10,7,79,西北風,1,<= 1,10,有雨,14,2021-01-11
臺北市,信義區,6300200,2021-01-12,00:00:00,10,6,73,偏西風,1,<= 1,10,短暫雨,08,2021-01-11
臺北市,信義區,6300200,2021-01-12,03:00:00,10,5,72,西南風,1,<= 1,9,短暫雨,08,2021-01-11
臺北市,信義區,6300200,2021-01-12,06:00:00,10,5,71,偏南風,1,<= 1,8,陰,07,2021-01-11
臺北市,信義區,6300200,2021-01-12,09:00:00,10,4,65,偏東風,1,<= 1,10,陰,07,2021-01-11
臺北市,信義區,6300200,2021-01-12,12:00:00,13,4,57,偏東風,2,2,11,多雲,04,2021-01-11
臺北市,信義區,6300200,2021-01-12,15:00:00,12,3,54,偏東風,3,2,10,晴,01,2021-01-11
臺北市,信義區,6300200,2021-01-12,18:00:00,10,4,66,偏東風,3,2,8,晴,01,2021-01-11
臺北市,信義區,6300200,2021-01-12,21:00:00,9,5,75,偏東風,3,2,7,晴,01,2021-01-11
