DISTRICT,DAY,T,TD,RH,WD,AT,Wx
[<locationName>松山區</locationName>],2021-01-12,11,6,75,11,10,多雲短暫雨
[<locationName>松山區</locationName>],2021-01-13,14,10,82,20,8,晴時多雲
[<locationName>松山區</locationName>],2021-01-14,18,14,82,25,13,多雲
[<locationName>松山區</locationName>],2021-01-15,18,14,78,21,15,晴時多雲
[<locationName>松山區</locationName>],2021-01-16,16,14,88,16,14,多雲時陰短暫雨
[<locationName>松山區</locationName>],2021-01-17,13,11,84,12,13,陰短暫雨
[<locationName>松山區</locationName>],2021-01-18,14,11,84,12,13,陰時多雲
[<locationName>信義區</locationName>],2021-01-12,10,3,62,10,10,多雲短暫雨
[<locationName>信義區</locationName>],2021-01-13,14,8,70,19,8,晴時多雲
[<locationName>信義區</locationName>],2021-01-14,17,12,70,24,12,多雲
[<locationName>信義區</locationName>],2021-01-15,18,11,67,20,14,晴時多雲
[<locationName>信義區</locationName>],2021-01-16,16,12,77,15,14,多雲時陰短暫雨
[<locationName>信義區</locationName>],2021-01-17,13,9,73,12,13,陰短暫雨
[<locationName>信義區</locationName>],2021-01-18,13,8,72,11,13,陰時多雲
[<locationName>大安區</locationName>],2021-01-12,10,5,68,10,9,多雲短暫雨
[<locationName>大安區</locationName>],2021-01-13,13,9,76,20,8,晴時多雲
[<locationName>大安區</locationName>],2021-01-14,17,13,77,24,12,多雲
[<locationName>大安區</locationName>],2021-01-15,17,12,74,21,14,晴時多雲
[<locationName>大安區</locationName>],2021-01-16,16,13,84,16,14,多雲時陰短暫雨
[<locationName>大安區</locationName>],2021-01-17,13,9,79,12,13,陰短暫雨
[<locationName>大安區</locationName>],2021-01-18,13,9,78,12,13,陰時多雲
[<locationName>中山區</locationName>],2021-01-12,11,5,65,11,10,多雲短暫雨
[<locationName>中山區</locationName>],2021-01-13,14,9,72,20,9,晴時多雲
[<locationName>中山區</locationName>],2021-01-14,18,13,74,25,13,多雲
[<locationName>中山區</locationName>],2021-01-15,18,12,69,21,15,晴時多雲
[<locationName>中山區</locationName>],2021-01-16,16,13,78,16,15,多雲時陰短暫雨
[<locationName>中山區</locationName>],2021-01-17,14,9,74,13,13,陰短暫雨
[<locationName>中山區</locationName>],2021-01-18,14,9,73,12,14,陰時多雲
[<locationName>中正區</locationName>],2021-01-12,10,5,68,10,9,多雲短暫雨
[<locationName>中正區</locationName>],2021-01-13,13,9,76,20,8,晴時多雲
[<locationName>中正區</locationName>],2021-01-14,17,13,77,24,12,多雲
[<locationName>中正區</locationName>],2021-01-15,17,12,74,21,14,晴時多雲
[<locationName>中正區</locationName>],2021-01-16,16,13,84,16,14,多雲時陰短暫雨
[<locationName>中正區</locationName>],2021-01-17,13,9,79,12,13,陰短暫雨
[<locationName>中正區</locationName>],2021-01-18,13,9,78,12,13,陰時多雲
[<locationName>大同區</locationName>],2021-01-12,11,5,69,11,10,多雲短暫雨
[<locationName>大同區</locationName>],2021-01-13,14,10,77,19,8,晴時多雲
[<locationName>大同區</locationName>],2021-01-14,18,14,79,23,13,多雲
[<locationName>大同區</locationName>],2021-01-15,18,13,74,21,15,晴時多雲
[<locationName>大同區</locationName>],2021-01-16,16,13,83,16,15,多雲時陰短暫雨
[<locationName>大同區</locationName>],2021-01-17,14,10,78,13,13,陰短暫雨
[<locationName>大同區</locationName>],2021-01-18,14,10,77,12,13,陰時多雲
[<locationName>萬華區</locationName>],2021-01-12,11,6,71,11,10,多雲短暫雨
[<locationName>萬華區</locationName>],2021-01-13,14,10,79,21,9,晴時多雲
[<locationName>萬華區</locationName>],2021-01-14,18,14,80,26,13,多雲
[<locationName>萬華區</locationName>],2021-01-15,18,13,76,22,14,晴時多雲
[<locationName>萬華區</locationName>],2021-01-16,17,14,86,17,15,多雲時陰短暫雨
[<locationName>萬華區</locationName>],2021-01-17,14,10,80,13,13,陰短暫雨
[<locationName>萬華區</locationName>],2021-01-18,14,10,80,13,13,陰時多雲
[<locationName>文山區</locationName>],2021-01-12,10,6,79,10,9,多雲短暫雨
[<locationName>文山區</locationName>],2021-01-13,13,10,82,19,7,晴時多雲
[<locationName>文山區</locationName>],2021-01-14,17,13,81,24,12,多雲
[<locationName>文山區</locationName>],2021-01-15,17,13,79,20,14,晴時多雲
[<locationName>文山區</locationName>],2021-01-16,15,13,89,16,13,多雲時陰短暫雨
[<locationName>文山區</locationName>],2021-01-17,12,10,87,12,12,陰短暫雨
[<locationName>文山區</locationName>],2021-01-18,12,10,86,11,12,陰時多雲
[<locationName>南港區</locationName>],2021-01-12,10,6,77,11,9,多雲短暫雨
[<locationName>南港區</locationName>],2021-01-13,13,11,85,19,8,晴時多雲
[<locationName>南港區</locationName>],2021-01-14,17,14,84,24,13,多雲
[<locationName>南港區</locationName>],2021-01-15,18,14,83,21,15,晴時多雲
[<locationName>南港區</locationName>],2021-01-16,16,14,92,16,14,多雲時陰短暫雨
[<locationName>南港區</locationName>],2021-01-17,13,11,89,12,13,陰短暫雨
[<locationName>南港區</locationName>],2021-01-18,13,11,89,12,13,陰時多雲
[<locationName>內湖區</locationName>],2021-01-12,11,6,75,11,10,多雲短暫雨
[<locationName>內湖區</locationName>],2021-01-13,14,10,82,20,8,晴時多雲
[<locationName>內湖區</locationName>],2021-01-14,18,14,82,25,13,多雲
[<locationName>內湖區</locationName>],2021-01-15,18,14,78,21,15,晴時多雲
[<locationName>內湖區</locationName>],2021-01-16,16,14,88,16,14,多雲時陰短暫雨
[<locationName>內湖區</locationName>],2021-01-17,13,11,84,12,13,陰短暫雨
[<locationName>內湖區</locationName>],2021-01-18,14,11,84,12,13,陰時多雲
[<locationName>士林區</locationName>],2021-01-12,11,5,68,11,10,多雲
[<locationName>士林區</locationName>],2021-01-13,14,10,74,20,9,晴時多雲
[<locationName>士林區</locationName>],2021-01-14,18,14,77,25,13,多雲
[<locationName>士林區</locationName>],2021-01-15,18,12,71,21,15,晴時多雲
[<locationName>士林區</locationName>],2021-01-16,16,13,79,16,15,多雲時陰短暫雨
[<locationName>士林區</locationName>],2021-01-17,14,9,75,12,13,陰短暫雨
